Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-45997,WR,Keith,Keith Kirkwood,Kirkwood,0.899999976,2,4500,CAR@KC,CAR,KC,IR,Shoulder,
51377-103352,RB,Christian,Christian Wade,Wade,0,0,4500,SEA@BUF,BUF,SEA,,,
51377-41922,WR,Johnny,Johnny Holton,Holton,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-61379,RB,Kerrith,Kerrith Whyte Jr.,Whyte Jr.,0,1,4500,DET@MIN,DET,MIN,,,
51377-43973,RB,Keith,Keith Smith,Smith,0.566666683,6,4500,DEN@ATL,ATL,DEN,,,
51377-104388,WR,Tom,Tom Kennedy,Kennedy,0,1,4500,DET@MIN,DET,MIN,,,
51377-56262,WR,Parris,Parris Campbell,Campbell,3.899999936,3,4500,BAL@IND,IND,BAL,IR,Knee - mcl,
51377-63447,WR,Penny,Penny Hart,Hart,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-72669,WR,Isaiah,Isaiah Wright,Wright,3.825000048,4,4500,NYG@WAS,WAS,NYG,,,
51377-41954,WR,Victor,Victor Bolden,Bolden,0,1,4500,DET@MIN,DET,MIN,,,
51377-40932,WR,Pharoh,Pharoh Cooper,Cooper,0.212500006,8,4500,CAR@KC,CAR,KC,,,
51377-72676,RB,Troymaine,Troymaine Pope,Pope,6.300000191,2,4500,LV@LAC,LAC,LV,D,Concussion,
51377-104424,RB,Craig,Craig Reynolds,Reynolds,0,2,4500,HOU@JAC,JAC,HOU,,,
51377-71661,WR,Tino,Tino Ellis,Ellis,0,0,4500,MIA@ARI,MIA,ARI,,,
51377-65518,WR,John,John Ursua,Ursua,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-14319,RB,Taiwan,Taiwan Jones,Jones,0,2,4500,SEA@BUF,BUF,SEA,O,Hamstring,
51377-26610,WR,Paul,Paul Richardson Jr.,Richardson Jr.,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-63475,WR,Quadree,Quadree Henderson,Henderson,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-31732,WR,Corey,Corey Coleman,Coleman,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-40948,RB,Ralph,Ralph Webb,Webb,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-14327,RB,Anthony,Anthony Sherman,Sherman,2.399999936,3,4500,CAR@KC,KC,CAR,,,
51377-12539,D,Miami,Miami Dolphins,Dolphins,10.14285714,7,4400,MIA@ARI,MIA,ARI,,,
51377-104278,TE,Donald,Donald Parham Jr.,Parham Jr.,5.700000127,3,4400,LV@LAC,LAC,LV,,,
51377-14237,TE,Kyle,Kyle Rudolph,Rudolph,3.571428571,7,4400,DET@MIN,MIN,DET,,,
51377-28694,TE,Jesse,Jesse James,James,4.375,4,4300,DET@MIN,DET,MIN,,,
51377-12546,D,Arizona,Arizona Cardinals,Cardinals,7,7,4300,MIA@ARI,ARI,MIA,,,
51377-6641,TE,Jason,Jason Witten,Witten,2.683333397,6,4300,LV@LAC,LV,LAC,,,
51377-80546,TE,Dan,Dan Arnold,Arnold,3.48333327,6,4300,MIA@ARI,ARI,MIA,,,
51377-54007,TE,Jacob,Jacob Hollister,Hollister,2.960000038,5,4300,SEA@BUF,SEA,BUF,,,
51377-91047,TE,Cole,Cole Kmet,Kmet,2.41428566,7,4300,CHI@TEN,CHI,TEN,Q,Groin,
51377-79967,TE,Adam,Adam Shaheen,Shaheen,4.059999847,5,4200,MIA@ARI,MIA,ARI,,,
51377-12531,D,Denver,Denver Broncos,Broncos,6.142857143,7,4200,DEN@ATL,DEN,ATL,,,
51377-12548,D,Los Angeles,Los Angeles Chargers,Chargers,5,7,4200,LV@LAC,LAC,LV,,,
51377-32045,TE,Vance,Vance McDonald,McDonald,1.649999936,6,4200,PIT@DAL,PIT,DAL,Q,Illness,
51377-71386,TE,Jordan,Jordan Thomas,Thomas,2.26666673,3,4200,MIA@ARI,ARI,MIA,,,
51377-70426,TE,Reggie,Reggie Gilliam,Gilliam,4.300000191,2,4200,SEA@BUF,BUF,SEA,,,
51377-19342,TE,Demetrius,Demetrius Harris,Harris,1.142857143,7,4200,CHI@TEN,CHI,TEN,,,
